出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘,普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
1111004,111,2,4764,雙鍵化工股份有限公司,化學工業,0.53,10.0000,1502307.00,35161.00,24681.00,46012.00
1111004,111,2,4766,南寶樹脂化學工廠股份有限公司,化學工業,8.76,10.0000,10558953.00,742893.00,578918.00,1118808.00
1111004,111,2,4770,上品綜合工業股份有限公司,化學工業,10.23,10.0000,2977217.00,988224.00,19799.00,803630.00
1111004,111,2,4807,日成控股股份有限公司,貿易百貨,-0.40,10.0000,748694.00,-36899.00,25000.00,-15369.00
1111004,111,2,4904,遠傳電信股份有限公司,通信網路業,1.42,10.0000,42627580.00,6119520.00,-337486.00,4686172.00
1111004,111,2,4906,正文科技股份有限公司,通信網路業,0.31,10.0000,11665536.00,98594.00,187786.00,216086.00
1111004,111,2,4912,聯德控股股份有限公司,電子零組件業,3.78,10.0000,3494408.00,267521.00,25786.00,242802.00
1111004,111,2,4915,致伸科技股份有限公司,電子零組件業,2.81,10.0000,38177702.00,1533380.00,112774.00,1300450.00
1111004,111,2,4916,事欣科技股份有限公司,電腦及週邊設備業,0.48,10.0000,1161372.00,20212.00,21766.00,39777.00
1111004,111,2,4919,新唐科技股份有限公司,半導體業,6.10,10.0000,21902683.00,2741542.00,434001.00,2562594.00
1111004,111,2,4927,泰鼎國際股份有限公司,電子零組件業,4.08,10.0000,8116280.00,813557.00,-2610.00,778376.00
1111004,111,2,4930,燦星網通股份有限公司,電器電纜,1.72,10.0000,4027794.00,186956.00,133299.00,256677.00
1111004,111,2,4934,太極能源科技股份有限公司,光電業,-0.39,10.0000,894258.00,-123317.00,-6726.00,-129883.00
1111004,111,2,4935,茂林光電科技(開曼)股份有限公司,光電業,2.37,10.0000,4281803.00,279452.00,97025.00,305224.00
1111004,111,2,4938,和碩聯合科技股份有限公司,電腦及週邊設備業,1.79,10.0000,607482056.00,10774351.00,-211438.00,7918901.00
1111004,111,2,4942,嘉彰股份有限公司,光電業,2.74,10.0000,4370520.00,474017.00,130611.00,389119.00
1111004,111,2,4943,開曼康而富控股股份有限公司,電子零組件業,-4.19,10.0000,934726.00,-732433.00,70381.00,-667297.00
1111004,111,2,4952,凌通科技股份有限公司,半導體業,4.03,10.0000,1990154.00,480218.00,42813.00,438633.00
1111004,111,2,4956,光鋐科技股份有限公司,光電業,0.11,10.0000,630386.00,1169.00,13251.00,11545.00
1111004,111,2,4958,臻鼎科技控股股份有限公司,電子零組件業,4.77,10.0000,68449555.00,5686477.00,1650535.00,6505689.00
1111004,111,2,4960,誠美材料科技股份有限公司,光電業,0.51,10.0000,5722145.00,205264.00,141494.00,337049.00
1111004,111,2,4961,天鈺科技股份有限公司,半導體業,12.14,10.0000,11358858.00,3087440.00,-43662.00,2497870.00
1111004,111,2,4967,十銓科技股份有限公司,半導體業,0.13,10.0000,3273502.00,-38493.00,62854.00,12622.00
1111004,111,2,4968,立積電子股份有限公司,半導體業,0.46,10.0000,1739152.00,-23522.00,64630.00,41071.00
1111004,111,2,4976,佳凌科技股份有限公司,光電業,-0.28,10.0000,567829.00,-85508.00,47010.00,-38498.00
1111004,111,2,4977,眾達科技股份有限公司,通信網路業,1.24,10.0000,1232890.00,191901.00,-100389.00,86263.00
1111004,111,2,4989,李長榮科技股份有限公司,電子零組件業,1.60,10.0000,2194315.00,205030.00,89036.00,220245.00
1111004,111,2,4994,傳奇網路遊戲股份有限公司,資訊服務業,0.51,10.0000,1073319.00,100679.00,-46686.00,56127.00
1111004,111,2,4999,鑫禾科技股份有限公司,電子零組件業,1.90,10.0000,1173502.00,73452.00,113506.00,141290.00
1111004,111,2,5007,三星科技股份有限公司,鋼鐵工業,1.87,10.0000,3768673.00,655007.00,52546.00,565665.00
1111004,111,2,5203,訊連科技股份有限公司,資訊服務業,1.83,10.0000,823419.00,81567.00,93829.00,143440.00
1111004,111,2,5215,科嘉(開曼)股份有限公司,電腦及週邊設備業,2.26,10.0000,1360477.00,151840.00,69693.00,142295.00
1111004,111,2,5222,全訊科技股份有限公司,半導體業,1.06,10.0000,469707.00,151214.00,-51505.00,71445.00
1111004,111,2,5225,東科控股股份有限公司,其他電子業,0.99,10.0000,5900147.00,27469.00,34132.00,60260.00
1111004,111,2,5234,達興材料股份有限公司,光電業,2.95,10.0000,2244374.00,317072.00,25486.00,303378.00
1111004,111,2,5243,乙盛精密工業股份有限公司,光電業,1.82,10.0000,6093634.00,282212.00,127513.00,306441.00
1111004,111,2,5244,弘凱光電股份有限公司,光電業,1.42,10.0000,493548.00,105805.00,13571.00,95238.00
1111004,111,2,5258,虹堡科技股份有限公司,電腦及週邊設備業,3.24,10.0000,3006324.00,394034.00,-1776.00,296624.00
1111004,111,2,5269,祥碩科技股份有限公司,半導體業,22.54,10.0000,2903083.00,818953.00,939227.00,1557767.00
1111004,111,2,5283,禾聯碩股份有限公司,電器電纜,5.75,10.0000,3686549.00,427386.00,90742.00,420040.00
1111004,111,2,5284,經寶精密控股股份有限公司,其他,2.33,10.0000,782612.00,125488.00,3704.00,102404.00
1111004,111,2,5285,界霖科技股份有限公司,半導體業,2.81,10.0000,3284601.00,294847.00,66571.00,286687.00
1111004,111,2,5288,開曼商豐祥控股股份有限公司,電機機械,5.70,10.0000,3675651.00,474309.00,380.00,371570.00
1111004,111,2,5306,桂盟國際股份有限公司,其他,8.09,10.0000,3802074.00,1280281.00,52082.00,1019196.00
